task_id,timestamp_us,total_run_time,total_io_wait_time,total_ready_wait_time,delta
F,87443995,43635014,0,43708868,50
F,87943995,43885004,0,43958878,50
B,87993995,43955122,0,43938760,50
F,88442995,44134994,0,44208888,49
F,88942995,44384984,0,44457898,50
B,89092995,44504100,0,44488782,50
F,89442995,44634974,0,44707908,50
F,89942995,44884964,0,44957918,50
B,90192995,45054078,0,45038804,50
F,90442995,45134954,0,45207928,50
F,90942995,45384944,0,45457938,50
B,91292995,45604056,0,45588826,50
F,91442995,45634934,0,45707948,50
F,91940995,45884924,0,45955958,50
B,92390995,46152034,0,46138848,50
F,92440995,46134914,0,46205968,50
F,92940995,46384904,0,46455978,50
F,93440995,46634894,0,46705988,50
B,93490995,46702012,0,46688870,50
F,93940995,46884884,0,46955998,50
F,94440995,47134874,0,47206008,50
B,94590995,47251990,0,47238892,50
F,94940995,47384864,0,47456018,50
F,95435995,47630854,0,47706028,50
B,95681995,47801968,0,47780914,49
F,95927995,47873844,0,47956038,50
F,96426995,48120834,0,48206048,50
B,96776995,48351946,0,48324936,50
F,96926995,48370824,0,48456058,50
F,97426995,48620814,0,48706068,50
B,97876995,48901924,0,48874958,50
F,97926995,48870804,0,48956078,50
F,98426995,49120794,0,49206088,50
F,98926995,49370784,0,49456098,50
B,98976995,49451902,0,49424980,50
F,99426995,49620774,0,49706108,50
F,99926995,49870764,0,49956118,50
B,100076995,50001880,0,49975002,50
F,100424995,50118754,0,50206128,50
F,100924995,50368744,0,50456138,50
B,101174995,50551858,0,50523024,50
F,101424995,50618734,0,50706148,50
F,101922995,50868724,0,50955158,49
B,102271995,51099836,0,51072046,50
F,102421995,51117714,0,51204168,50
F,102921995,51367704,0,51454178,50
B,103370995,51649814,0,51622068,50
F,103420995,51617694,0,51703188,50
F,103920995,51867684,0,51953198,50
F,104420995,52117674,0,52203208,50
B,104470995,52198792,0,52172090,50
F,104920995,52367664,0,52453218,50
F,105420995,52617654,0,52703228,50
B,105570995,52748770,0,52722112,50
F,105920995,52867644,0,52953238,50
F,106420995,53117634,0,53203248,50
B,106670995,53298748,0,53272134,50
F,106920995,53367624,0,53453258,50
F,107420995,53617614,0,53703268,50
B,107770995,53848726,0,53822156,50
F,107920995,53867604,0,53953278,50
F,108420995,54117594,0,54203288,50
B,108864995,54398704,0,54369178,48
F,108913995,54364584,0,54452298,49
F,109410995,54611574,0,54699308,50
F,109909995,54861564,0,54949318,49
B,109959995,54944682,0,54916200,50
F,110407995,55111554,0,55196328,50
F,110906995,55361544,0,55445338,50
B,111056995,55490660,0,55466222,50
F,111406995,55611534,0,55695348,50
F,111906995,55861524,0,55945358,50
B,112156995,56040638,0,56016244,50
F,112406995,56111514,0,56195368,50
F,112906995,56361504,0,56445378,50
